Cluster,SiteName,Site Code,NGS CORS,Lat dec,Long dec,elip ht
North Central,ADEL,ADEL,False,42.176505461111105,119.89585087222223,1386.097
North Central,AGNS-Agnes,AGNS,False,42.55276154166666,124.05909570833333,51.763
North Central,ANAT-ANATONE,ANAT,False,46.13285973055556,117.13541140000001,1087.7649
North Central,ARLN-Arlington,ARLN,False,45.70820147777778,120.18325320555556,120.8119
North Central,ASHL-Ashland,ASHL,False,42.180686941666664,122.67015344722223,609.147
North Central,BLY1,BLY1,False,42.406840986111106,121.04904902777777,1313.8889
North Central,BNDM Bend Maint,BNDM,False,44.08939091388889,121.30752189722222,1070.737
North Central,BRNT-Unity,BRNT,False,44.44021401111111,118.19130320833334,1213.195
North Central,CABL-Cape Blanco,CABL,True,42.83609533888889,124.56332956666667,38.291
North Central,CATH- Cathlamet,CATH,False,46.197298741666664,123.36725361666666,56.67
North Central,CHEM-CHEMULT,CHEM,False,43.22435692777778,121.78581678611111,1440.413
North Central,COND-CONDON,COND,False,45.237902411111115,120.18136188611112,865.8439
North Central,CRAN-Crane,CRAN,False,43.41577815833333,118.574918625,1248.78
North Central,CTPT-Central Pt,CTPT,False,42.37669020277778,122.89394305555557,370.975
North Central,ELG2 ELGIN,ELG2,False,45.564858736111105,117.92840979444445,816.489
North Central,ENTR-Enterprise,ENTR,False,45.43125181944444,117.28806594722222,1127.055
North Central,FWBD-FarewellBen,FWBD,False,44.29188373611111,117.22162603333334,631.9339
North Central,GLWD-Glenwood,GLWD,False,46.019824375,121.28859049722222,561.42
North Central,GOBS-Goldndale,GOBS,True,45.83881425277778,120.81466001388888,621.9549
North Central,GRAS-GrassValley,GRAS,False,45.36440983888889,120.78739475833333,677.871
North Central,GTPS-Grants Pass,GTPS,False,42.43449034166667,123.29736403888889,279.017
North Central,HALF-Halfway,HALF,False,44.87238589444444,117.09981359166666,783.937
North Central,HRPR-Harper,HRPR,False,43.865867022222226,117.60793002222222,761.43
North Central,IDEM_RTCM32,IDEM,False,43.86487764722222,116.47545154722222,717.973
North Central,IDRO_RTCM32,IDRO,False,43.72287515,116.96245815555555,708.295
North Central,JIME-Wash County,JIME,True,45.523115097222224,122.99051154444444,53.404
North Central,JUNT  Juntura,JUNT,False,43.74381647777778,118.07846618055555,891.128
North Central,KENI-Kennewick,KENI,False,46.19787920833333,119.15861574166668,146.534
North Central,LAPN LaPine,LAPN,False,43.66459778888889,121.50598668611111,1279.374
North Central,LCS1 Albany,LCS1,False,44.63434744722222,123.10664881666666,59.437
North Central,LCS2-Sweethome,LCS2,False,44.396177244444445,122.73421175,145.121
North Central,LCS3-Halsey,LCS3,False,44.37756077777778,123.10910183333333,72.279
North Central,LFLO-Florencedir,LFLO,True,43.98360199166667,124.10769200833333,-6.0451
North Central,LKVW-Lakeview,LKVW,False,42.17209252777778,120.34666485277778,1433.513
North Central,LPSB-Lane pubdir,LPSB,True,44.051224786111106,123.09006903333332,118.0919
North Central,LWCK- ILLWACO,LWCK,False,46.27812911111111,124.05382870833333,39.402
North Central,MDRS-Madras ODOT,MDRS,False,44.66402577777777,121.13040262499999,736.344
North Central,MTCL Mitchell,MTCL,False,44.56520343333333,120.14654991111112,878.279
North Central,NOSE-Roman,NOSE,False,43.911899149999996,123.73870535833333,849.378
North Central,NWBG-Newberg,NWBG,True,45.30004785,122.97551412777779,42.923
North Central,OAKR Oakridge,OAKR,False,43.73833474166667,122.44454957500001,376.301
